epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2605.85,1.80469,1.02741,1.85142,0.76152,0.76904,0.78971,0.2727,2.28829,1.2094,2.54454,0.000848969,0.000848969,0.000848969
43,2677.61,1.79648,1.01574,1.84815,0.75281,0.80067,0.78462,0.27401,2.3262,1.21309,2.57955,0.000834822,0.000834822,0.000834822
44,2748.12,1.79179,1.01683,1.85426,0.74949,0.82064,0.7765,0.27287,2.32618,1.1476,2.56888,0.000820675,0.000820675,0.000820675
45,2817.65,1.77941,0.98787,1.83283,0.74028,0.80344,0.7815,0.27542,2.32771,1.20618,2.57757,0.000806528,0.000806528,0.000806528
46,2886.99,1.77149,0.98037,1.82961,0.70384,0.78378,0.75512,0.264,2.30072,1.14737,2.55376,0.00079238,0.00079238,0.00079238
47,2955.04,1.77402,0.963,1.83753,0.75089,0.78133,0.76781,0.27237,2.34851,1.20919,2.60253,0.000778233,0.000778233,0.000778233
48,3028.69,1.75682,0.96252,1.81412,0.71914,0.81818,0.76794,0.27509,2.354,1.17359,2.63047,0.000764086,0.000764086,0.000764086
49,3105.75,1.78401,0.96147,1.83874,0.73542,0.77857,0.75979,0.27048,2.33256,1.22508,2.58109,0.000749939,0.000749939,0.000749939
50,3177.19,1.7412,0.93968,1.83446,0.73787,0.78847,0.75682,0.26293,2.40923,1.16496,2.68891,0.000735792,0.000735792,0.000735792
51,3246.68,1.75915,0.93226,1.82281,0.74285,0.80916,0.77464,0.27062,2.33454,1.18452,2.59998,0.000721645,0.000721645,0.000721645
